Client ID,Best Local Accuracy,Best Local Accuracy Top-5,Best Global Accuracy,Best Global Accuracy Top-5,Best Global Model Train,Best Global Model Test,Best Global Model Train,Best Global Model Test Top-5,Hyperparameters
0,0.0,0.0,0.0,0.0,0.861695742637644,0.8436,0.99523847631242,0.9941,"{'epochs': 5, 'comm_round': 5, 'sample_fraction': 1.0, 'alpha': 1e+200, 'dataset': 'cifar10', 'datadir': '../data/', 'partition': 'noniid-labeldir', 'alg': 'sflv1', 'model': 'resnet-18', 'split_layer': 4, 'n_parties': 5, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=sflv1_partition=noniid-labeldir_lr=0.001_epochs=5_num_users=5_beta=1e+200_batch_size=64_opt=adam_dataset=cifar10_2024-04-04-1456-07', 'seed': 123, 'device': 'cuda:7', 'accuracies_file': 'logs/split_experiment_3.csv', 'multiprocessing': 0}"
1,0.0,0.0,0.0,0.0,0.861695742637644,0.8436,0.99523847631242,0.9941,"{'epochs': 5, 'comm_round': 5, 'sample_fraction': 1.0, 'alpha': 1e+200, 'dataset': 'cifar10', 'datadir': '../data/', 'partition': 'noniid-labeldir', 'alg': 'sflv1', 'model': 'resnet-18', 'split_layer': 4, 'n_parties': 5, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=sflv1_partition=noniid-labeldir_lr=0.001_epochs=5_num_users=5_beta=1e+200_batch_size=64_opt=adam_dataset=cifar10_2024-04-04-1456-07', 'seed': 123, 'device': 'cuda:7', 'accuracies_file': 'logs/split_experiment_3.csv', 'multiprocessing': 0}"
2,0.0,0.0,0.0,0.0,0.861695742637644,0.8436,0.99523847631242,0.9941,"{'epochs': 5, 'comm_round': 5, 'sample_fraction': 1.0, 'alpha': 1e+200, 'dataset': 'cifar10', 'datadir': '../data/', 'partition': 'noniid-labeldir', 'alg': 'sflv1', 'model': 'resnet-18', 'split_layer': 4, 'n_parties': 5, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=sflv1_partition=noniid-labeldir_lr=0.001_epochs=5_num_users=5_beta=1e+200_batch_size=64_opt=adam_dataset=cifar10_2024-04-04-1456-07', 'seed': 123, 'device': 'cuda:7', 'accuracies_file': 'logs/split_experiment_3.csv', 'multiprocessing': 0}"
3,0.0,0.0,0.0,0.0,0.861695742637644,0.8436,0.99523847631242,0.9941,"{'epochs': 5, 'comm_round': 5, 'sample_fraction': 1.0, 'alpha': 1e+200, 'dataset': 'cifar10', 'datadir': '../data/', 'partition': 'noniid-labeldir', 'alg': 'sflv1', 'model': 'resnet-18', 'split_layer': 4, 'n_parties': 5, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=sflv1_partition=noniid-labeldir_lr=0.001_epochs=5_num_users=5_beta=1e+200_batch_size=64_opt=adam_dataset=cifar10_2024-04-04-1456-07', 'seed': 123, 'device': 'cuda:7', 'accuracies_file': 'logs/split_experiment_3.csv', 'multiprocessing': 0}"
4,0.0,0.0,0.0,0.0,0.861695742637644,0.8436,0.99523847631242,0.9941,"{'epochs': 5, 'comm_round': 5, 'sample_fraction': 1.0, 'alpha': 1e+200, 'dataset': 'cifar10', 'datadir': '../data/', 'partition': 'noniid-labeldir', 'alg': 'sflv1', 'model': 'resnet-18', 'split_layer': 4, 'n_parties': 5, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=sflv1_partition=noniid-labeldir_lr=0.001_epochs=5_num_users=5_beta=1e+200_batch_size=64_opt=adam_dataset=cifar10_2024-04-04-1456-07', 'seed': 123, 'device': 'cuda:7', 'accuracies_file': 'logs/split_experiment_3.csv', 'multiprocessing': 0}"
0,0.0,0.0,0.0,0.0,0.5429737516005122,0.5522,0.9103913252240717,0.9155,"{'epochs': 5, 'comm_round': 5, 'sample_fraction': 1.0, 'alpha': 1e+200, 'dataset': 'cifar10', 'datadir': '../data/', 'partition': 'noniid-labeldir', 'alg': 'sflv1', 'model': 'resnet-50', 'split_layer': 4, 'n_parties': 5, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=sflv1_partition=noniid-labeldir_lr=0.001_epochs=5_num_users=5_beta=1e+200_batch_size=64_opt=adam_dataset=cifar10_2024-04-04-1508-16', 'seed': 123, 'device': 'cuda:7', 'accuracies_file': 'logs/split_experiment_3.csv', 'multiprocessing': 0}"
1,0.0,0.0,0.0,0.0,0.5429737516005122,0.5522,0.9103913252240717,0.9155,"{'epochs': 5, 'comm_round': 5, 'sample_fraction': 1.0, 'alpha': 1e+200, 'dataset': 'cifar10', 'datadir': '../data/', 'partition': 'noniid-labeldir', 'alg': 'sflv1', 'model': 'resnet-50', 'split_layer': 4, 'n_parties': 5, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=sflv1_partition=noniid-labeldir_lr=0.001_epochs=5_num_users=5_beta=1e+200_batch_size=64_opt=adam_dataset=cifar10_2024-04-04-1508-16', 'seed': 123, 'device': 'cuda:7', 'accuracies_file': 'logs/split_experiment_3.csv', 'multiprocessing': 0}"
2,0.0,0.0,0.0,0.0,0.5429737516005122,0.5522,0.9103913252240717,0.9155,"{'epochs': 5, 'comm_round': 5, 'sample_fraction': 1.0, 'alpha': 1e+200, 'dataset': 'cifar10', 'datadir': '../data/', 'partition': 'noniid-labeldir', 'alg': 'sflv1', 'model': 'resnet-50', 'split_layer': 4, 'n_parties': 5, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=sflv1_partition=noniid-labeldir_lr=0.001_epochs=5_num_users=5_beta=1e+200_batch_size=64_opt=adam_dataset=cifar10_2024-04-04-1508-16', 'seed': 123, 'device': 'cuda:7', 'accuracies_file': 'logs/split_experiment_3.csv', 'multiprocessing': 0}"
3,0.0,0.0,0.0,0.0,0.5429737516005122,0.5522,0.9103913252240717,0.9155,"{'epochs': 5, 'comm_round': 5, 'sample_fraction': 1.0, 'alpha': 1e+200, 'dataset': 'cifar10', 'datadir': '../data/', 'partition': 'noniid-labeldir', 'alg': 'sflv1', 'model': 'resnet-50', 'split_layer': 4, 'n_parties': 5, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=sflv1_partition=noniid-labeldir_lr=0.001_epochs=5_num_users=5_beta=1e+200_batch_size=64_opt=adam_dataset=cifar10_2024-04-04-1508-16', 'seed': 123, 'device': 'cuda:7', 'accuracies_file': 'logs/split_experiment_3.csv', 'multiprocessing': 0}"
4,0.0,0.0,0.0,0.0,0.5429737516005122,0.5522,0.9103913252240717,0.9155,"{'epochs': 5, 'comm_round': 5, 'sample_fraction': 1.0, 'alpha': 1e+200, 'dataset': 'cifar10', 'datadir': '../data/', 'partition': 'noniid-labeldir', 'alg': 'sflv1', 'model': 'resnet-50', 'split_layer': 4, 'n_parties': 5, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=sflv1_partition=noniid-labeldir_lr=0.001_epochs=5_num_users=5_beta=1e+200_batch_size=64_opt=adam_dataset=cifar10_2024-04-04-1508-16', 'seed': 123, 'device': 'cuda:7', 'accuracies_file': 'logs/split_experiment_3.csv', 'multiprocessing': 0}"
